theta,mean_relative_force,stddev_relative_force,median_relative_force,lower_25_relative_force,upper_75_relative_forcemean_time_mus,stddev_time_ns,median_time_ns,lower_25_time_ns,upper_75_time_ns
0.765,0.985907,0.0483422,0.991721,0.969792,1.0031,7441.76,3299.38,7441,6486,8157
0.768,0.985809,0.0484484,0.991447,0.969438,1.00358,7265.94,2600.8,7380,6434,8096
0.771,0.985647,0.0488239,0.991403,0.968821,1.00315,7221.49,2209.83,7331,6420,8079
0.774,0.986009,0.0494356,0.991447,0.969008,1.0036,7082.18,1480.59,7248,6408,8000
0.777,0.986068,0.0499905,0.991605,0.968033,1.00358,7001.89,1340.71,7207,6355,7922
0.78,0.985633,0.0502117,0.991355,0.967921,1.00327,7029.55,2103.28,7154,6303,7864
0.783,0.985734,0.0531553,0.991429,0.967757,1.00327,7135.71,3143.16,7125,6264,7830
0.786,0.985517,0.0534743,0.991372,0.967757,1.00348,6970.24,2293.36,7076,6212,7772
0.789,0.985202,0.054274,0.990825,0.96747,1.00357,6971.36,3269.02,7031,6175,7736
0.792,0.985065,0.0542842,0.99078,0.966995,1.00376,6948.13,2726.78,6961,6108,7691
0.795,0.984708,0.0538976,0.990825,0.966186,1.00348,6875.17,2164.3,6933,6042,7644
0.798,0.984533,0.0542173,0.990759,0.966122,1.00348,6735.42,1394.96,6884,5990,7590
0.801,0.984478,0.0542047,0.990702,0.965661,1.00317,6870.13,3054.67,6846,5964,7515
0.804,0.984406,0.0541344,0.990702,0.965988,1.00333,6656.61,1985.65,6817,5935,7469
0.807,0.984147,0.054864,0.990376,0.965661,1.00307,6624.59,1567.34,6777,5923,7441
0.81,0.98386,0.0559001,0.990285,0.965661,1.00304,6635.45,2186.08,6717,5873,7390
0.813,0.983746,0.0570947,0.990077,0.965476,1.00314,6532,1749.67,6644,5848,7331
0.816,0.983233,0.0566806,0.989537,0.964768,1.00343,6579.6,2367.39,6600,5788,7311
0.819,0.983473,0.0588954,0.989561,0.963991,1.00323,6621.84,3881.83,6544,5750,7230
0.822,0.983263,0.0588106,0.99017,0.962843,1.00314,6439.13,2041.53,6505,5721,7183
0.825,0.983298,0.0593656,0.989897,0.96245,1.00371,6420.56,2268.17,6484,5670,7141
0.828,0.983505,0.0592112,0.990231,0.962843,1.00378,6360.79,2017.26,6419,5655,7088
0.831,0.983066,0.0594141,0.990239,0.961552,1.00398,6363.81,2562.82,6386,5613,7037
0.834,0.982798,0.0600461,0.990541,0.961413,1.00398,6254.07,1636.72,6360,5591,7002
0.837,0.982411,0.0608386,0.990288,0.961367,1.00314,6239.67,1854.24,6315,5551,6954
0.84,0.982466,0.061006,0.989838,0.961413,1.00321,6324.42,2563.48,6302,5527,6946
0.843,0.982452,0.061728,0.989978,0.961213,1.00373,6335.11,3431.42,6279,5506,6884
